The [entries] sheet shows the entries for words with IDs ending in "01" (201, 4701, 53401, etc) 
from the collocates table that is used to create the frequency listings that are based on the 
Corpus of Contemporary American English (COCA).

The complete list is available for purchase. See:

http://www.wordfrequency.info [Purchase]

There are minimum values in terms of collocate frequency and Mutual Information (MI) score
for inclusion in the list.

Mutual Information:
ID 1-5 : MI > -3.5
ID 6-29 : MI > -1
ID: 30-99 : ID > 1
ID: 100-30,000 : ID > 2
ID: 30,000-60,000 : ID > 3

Collocate frequency:
ID 1-40,000 : freq >= 2
ID 40,000-60,000 : freq >= 1

---------------------------------------------

The column [% coll < node] refers to the percentage of the tokens for
this collocate and node word where the collocate precedes the node word.

The node and collocate part of speech (PoS) tags can be found at http://ucrel.lancs.ac.uk/claws7tags.html.

For more information:

http://www.wordfrequency.info: Word frequent lists
http://www.americancorpus.org: Corpus of Contemporary American English (COCA)
http://davies-linguistics.byu.edu/ : Mark Davies



ID	lemma	lemPoS	coll	collPoS	MI	freq	[% coll < node]
301	white	j	counterpart	n	3.76	247	0.0243
301	white	j	noise	n	2.5	246	0.0244
301	white	j	supremacy	n	6.41	243	0.0283
301	white	j	skirt	n	3.56	228	0.4978
301	white	j	crisp	j	4.82	226	0.9188
301	white	j	rose	n	2.08	225	0.1579
301	white	j	settler	n	4.51	225	0.0176
301	white	j	oak	n	3.07	221	0.1448
301	white	j	onion	n	2.74	215	0.2982
301	white	j	apron	n	5.28	210	0.10
301	white	j	gleaming	j	5.25	203	0.8696
301	white	j	cup	v	3.16	200	0.7905
301	white	j	beneath	i	2.14	200	0.6119
301	white	j	lace	n	4.75	198	0.1005
301	white	j	smoke	n	2.51	198	0.098
301	white	j	purple	j	3.5	196	0.45
301	white	j	fence	n	2.69	196	0.0711
301	white	j	ratio	n	2.85	188	0.0479
301	white	j	wrap	v	2.22	187	0.6533
301	white	j	racism	n	3.38	181	0.2527
301	white	j	bass	n	3.64	180	0.1027
301	white	j	lab	n	2.17	179	0.0761
301	white	j	shade	n	2.81	178	0.6417
301	white	j	starched	j	7.38	176	0.8596
301	white	j	tile	n	3.8	176	0.1319
301	white	j	student/teacher	n	7.91	173	0.00
301	white	j	suburb	n	3.09	172	0.157
301	white	j	curtain	n	3.12	172	0.1552
301	white	j	blossom	n	4.29	170	0.1657
301	white	j	feather	n	3.61	168	0.1462
301	white	j	tablecloth	n	5.85	168	0.0588
301	white	j	leather	n	2.64	162	0.1845
301	white	j	double	j	2.1	159	0.9193
301	white	j	racial	j	2.02	156	0.4615
301	white	j	creamy	j	4.74	154	0.8896
301	white	j	sauce	n	2.04	154	0.2792
301	white	j	knuckle	n	5.09	152	0.6601
301	white	j	satin	n	5.21	152	0.1176
301	white	j	towel	n	2.99	151	0.0526
301	white	j	lie	n	2.49	150	0.0968
301	white	j	smooth	j	2.15	149	0.7255
301	white	j	ribbon	n	3.59	148	0.1812
301	white	j	trash	n	3.38	148	0.0458
301	white	j	knight	n	3.23	146	0.0949
301	white	j	shine	v	2.76	146	0.5921
301	white	j	dot	n	3.32	144	0.1699
301	white	j	elephant	n	3.36	143	0.0408
301	white	j	flash	v	2.78	143	0.5263
